DisciplineName,EventUnitName,ID,DisciplineCode,GenderCode,EventCode,PhaseCode,EventID,EventName,PhaseID,PhaseName,DisciplineID,EventOrder,PhaseType,EventUnitType,OlympicDay,StartDate,EndDate,Venue,VenueDescription,Location,LocationDescription,Status,StatusDescription,CompetitorCode,NOC,CompetitorName,Position,Mark,MedalType,IRM
Baloncesto 3x3,"Masculino, ronda de grupos",BK3MTEAM3-------------GPA-002100--,BK3,M,,GPA-,BK3MTEAM3-------------------------,Masculino,BK3MTEAM3-------------GPA---------,"Masculino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T18:35:00+02:00,2024-08-02T19:00:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3MTEAM3---FRA01,FRA,Francia,,,,
Baloncesto 3x3,"Masculino, ronda de grupos",BK3MTEAM3-------------GPA-002100--,BK3,M,,GPA-,BK3MTEAM3-------------------------,Masculino,BK3MTEAM3-------------GPA---------,"Masculino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T18:35:00+02:00,2024-08-02T19:00:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3MTEAM3---USA01,USA,Estados Unidos,,,,
Balonmano,"Masculino, ronda preliminar - Grupo A",HBLMTEAM7-------------GPA-001200--,HBL,M,,GPA-,HBLMTEAM7-------------------------,Masculino,HBLMTEAM7-------------GPA---------,"Masculino, ronda preliminar - grupo A",HBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:00:00+02:00,2024-08-02T20:30:00+02:00,SP6,Paris Sur Arena 6,SP6,South Paris Arena 6,SCHEDULED,Programado,HBLMTEAM7---JPN01,JPN,Japón,,,,
Balonmano,"Masculino, ronda preliminar - Grupo A",HBLMTEAM7-------------GPA-001200--,HBL,M,,GPA-,HBLMTEAM7-------------------------,Masculino,HBLMTEAM7-------------GPA---------,"Masculino, ronda preliminar - grupo A",HBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:00:00+02:00,2024-08-02T20:30:00+02:00,SP6,Paris Sur Arena 6,SP6,South Paris Arena 6,SCHEDULED,Programado,HBLMTEAM7---SLO01,SLO,Eslovenia,,,,
Fútbol,"Masculino, cuartos de final",FBLMTEAM11------------QFNL000200--,FBL,M,,QFNL,FBLMTEAM11------------------------,Masculino,FBLMTEAM11------------QFNL--------,"Masculino, cuartos de final",FBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:00:00+02:00,2024-08-02T22:00:00+02:00,MRS,Estadio de Marsella,MRS,Estadio de Marsella,SCHEDULED,Programado,C1,,1C,,,,
Fútbol,"Masculino, cuartos de final",FBLMTEAM11------------QFNL000200--,FBL,M,,QFNL,FBLMTEAM11------------------------,Masculino,FBLMTEAM11------------QFNL--------,"Masculino, cuartos de final",FBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:00:00+02:00,2024-08-02T22:00:00+02:00,MRS,Estadio de Marsella,MRS,Estadio de Marsella,SCHEDULED,Programado,D2,,2D,,,,
Baloncesto 3x3,"Masculino, ronda de grupos",BK3MTEAM3-------------GPA-002200--,BK3,M,,GPA-,BK3MTEAM3-------------------------,Masculino,BK3MTEAM3-------------GPA---------,"Masculino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:05:00+02:00,2024-08-02T19:30:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3MTEAM3---LAT01,LAT,Letonia,,,,
Baloncesto 3x3,"Masculino, ronda de grupos",BK3MTEAM3-------------GPA-002200--,BK3,M,,GPA-,BK3MTEAM3-------------------------,Masculino,BK3MTEAM3-------------GPA---------,"Masculino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:05:00+02:00,2024-08-02T19:30:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3MTEAM3---SRB01,SRB,Serbia,,,,
Hockey sobre césped,"Masculino, grupo A",HOCMTEAM11------------GPA-001400--,HOC,M,,GPA-,HOCMTEAM11------------------------,Masculino,HOCMTEAM11------------GPA---------,"Masculino, grupo A",HOC-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:45:00+02:00,2024-08-02T21:15:00+02:00,YDM,Estadio Yves-du-Manoir,HO1,Estadio Yves-du-Manoir - Campo 1,SCHEDULED,Programado,HOCMTEAM11--FRA01,FRA,Francia,,,,
Hockey sobre césped,"Masculino, grupo A",HOCMTEAM11------------GPA-001400--,HOC,M,,GPA-,HOCMTEAM11------------------------,Masculino,HOCMTEAM11------------GPA---------,"Masculino, grupo A",HOC-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T19:45:00+02:00,2024-08-02T21:15:00+02:00,YDM,Estadio Yves-du-Manoir,HO1,Estadio Yves-du-Manoir - Campo 1,SCHEDULED,Programado,HOCMTEAM11--RSA01,RSA,Sudáfrica,,,,
